timestamp,energy_kwh
2024-01-01 00:00,2.3
2024-01-01 01:00,2.1
2024-01-01 02:00,1.8
2024-01-01 03:00,1.5
2024-01-01 04:00,1.4
2024-01-01 05:00,1.6
2024-01-01 06:00,2.8
2024-01-01 07:00,4.2
2024-01-01 08:00,5.6
2024-01-01 09:00,5.1
2024-01-01 10:00,4.8
2024-01-01 11:00,4.5
2024-01-01 12:00,5.0
2024-01-01 13:00,4.7
2024-01-01 14:00,4.9
2024-01-01 15:00,5.2
2024-01-01 16:00,5.8
2024-01-01 17:00,6.4
2024-01-01 18:00,8.9
2024-01-01 19:00,9.7
2024-01-01 20:00,10.2
2024-01-01 21:00,8.5
2024-01-01 22:00,5.3
2024-01-01 23:00,3.1
2024-01-02 00:00,2.4
2024-01-02 01:00,2.0
2024-01-02 02:00,1.9
2024-01-02 03:00,1.6
2024-01-02 04:00,1.5
2024-01-02 05:00,1.7
2024-01-02 06:00,3.0
2024-01-02 07:00,4.5
2024-01-02 08:00,5.8
2024-01-02 09:00,5.3
2024-01-02 10:00,5.0
2024-01-02 11:00,4.6
2024-01-02 12:00,5.1
2024-01-02 13:00,4.8
2024-01-02 14:00,5.0
2024-01-02 15:00,5.4
2024-01-02 16:00,6.0
2024-01-02 17:00,6.8
2024-01-02 18:00,9.1
2024-01-02 19:00,11.5
2024-01-02 20:00,10.8
2024-01-02 21:00,8.2
2024-01-02 22:00,5.1
2024-01-02 23:00,3.0
2024-02-01 00:00,2.5
2024-02-01 01:00,2.2
2024-02-01 02:00,1.9
2024-02-01 03:00,1.7
2024-02-01 04:00,1.6
2024-02-01 05:00,1.8
2024-02-01 06:00,3.1
2024-02-01 07:00,4.6
2024-02-01 08:00,6.0
2024-02-01 09:00,5.5
2024-02-01 10:00,5.2
2024-02-01 11:00,4.8
2024-02-01 12:00,5.3
2024-02-01 13:00,5.0
2024-02-01 14:00,5.2
2024-02-01 15:00,5.6
2024-02-01 16:00,6.2
2024-02-01 17:00,7.0
2024-02-01 18:00,9.5
2024-02-01 19:00,12.1
2024-02-01 20:00,11.3
2024-02-01 21:00,8.7
2024-02-01 22:00,5.5
2024-02-01 23:00,3.2
2024-03-01 00:00,2.2
2024-03-01 01:00,2.0
2024-03-01 02:00,1.7
2024-03-01 03:00,1.5
2024-03-01 04:00,1.4
2024-03-01 05:00,1.6
2024-03-01 06:00,2.9
2024-03-01 07:00,4.3
2024-03-01 08:00,5.5
2024-03-01 09:00,5.0
2024-03-01 10:00,4.7
2024-03-01 11:00,4.4
2024-03-01 12:00,4.9
2024-03-01 13:00,4.6
2024-03-01 14:00,4.8
2024-03-01 15:00,5.1
2024-03-01 16:00,5.7
2024-03-01 17:00,6.5
2024-03-01 18:00,8.8
2024-03-01 19:00,10.0
2024-03-01 20:00,9.9
2024-03-01 21:00,8.0
2024-03-01 22:00,5.0
2024-03-01 23:00,3.0
